index,lat,lon,result1,result2
0,10.837696335078533,10.0,286.12554931640625,53097.082580566406
5,10.837696335078533,16.25,288.4710388183594,53419.63119506836
20,12.722513089005234,12.5,286.7763977050781,53199.35256958008
15,11.780104712041885,17.5,289.3308410644531,53444.35037231445
10,11.780104712041885,11.25,285.7576599121094,53063.67367553711
1,10.837696335078533,11.25,286.5601806640625,53165.21057128906
6,10.837696335078533,17.5,290.72503662109375,53565.287536621094
21,12.722513089005234,13.75,287.84381103515625,53412.746154785156
16,11.780104712041885,18.75,288.4915771484375,53318.96423339844
11,11.780104712041885,12.5,286.0116271972656,53123.429595947266
2,10.837696335078533,12.5,286.3886413574219,53156.73629760742
7,10.837696335078533,18.75,291.3946228027344,53583.271575927734
22,12.722513089005234,15.0,286.1739196777344,53283.576263427734
17,11.780104712041885,20.0,289.917236328125,53486.714111328125
12,11.780104712041885,13.75,287.60980224609375,53305.355895996094
3,10.837696335078533,13.75,286.8964538574219,53236.36911010742
8,10.837696335078533,20.0,291.8528137207031,53532.8938293457
23,12.722513089005234,16.25,284.1424560546875,52951.10534667969
18,12.722513089005234,10.0,286.3076477050781,53108.30374145508
13,11.780104712041885,15.0,287.2314453125,53344.3349609375
4,10.837696335078533,15.0,288.43072509765625,53409.049865722656
9,11.780104712041885,10.0,286.4925842285156,53132.248443603516
24,12.722513089005234,17.5,286.9058532714844,53264.579681396484
25,12.722513089005234,18.75,288.0120544433594,53319.91439819336
14,11.780104712041885,16.25,286.0848388671875,53204.67858886719
19,12.722513089005234,11.25,284.84613037109375,52960.773864746094
30,13.664921465968586,13.75,287.1087951660156,53382.526763916016
26,12.722513089005234,20.0,288.0235595703125,53307.80285644531
35,13.664921465968586,20.0,286.2449951171875,53162.57507324219
40,14.607329842931936,15.0,282.36468505859375,52728.979919433594
45,15.549738219895287,10.0,281.2752685546875,52596.45886230469
31,13.664921465968586,15.0,283.6393127441406,52920.80142211914
27,13.664921465968586,10.0,284.947998046875,53030.367919921875
32,13.664921465968586,16.25,283.23760986328125,52788.65753173828
41,14.607329842931936,16.25,282.5807189941406,52752.05923461914
46,15.549738219895287,11.25,281.6122741699219,52773.62008666992
36,14.607329842931936,10.0,281.3380432128906,52699.25405883789
28,13.664921465968586,11.25,285.0476379394531,53013.76834106445
33,13.664921465968586,17.5,283.4718322753906,52793.62026977539
42,14.607329842931936,17.5,283.5501403808594,52759.33920288086
47,15.549738219895287,12.5,281.9002380371094,52841.09164428711
37,14.607329842931936,11.25,281.2775573730469,52723.99044799805
29,13.664921465968586,12.5,284.534912109375,52925.564208984375
34,13.664921465968586,18.75,283.8200988769531,52799.99197387695
43,14.607329842931936,18.75,283.7250671386719,52860.67623901367
48,15.549738219895287,13.75,282.8246154785156,52939.644927978516
38,14.607329842931936,12.5,284.6449890136719,53077.69577026367
50,15.549738219895287,16.25,282.3297119140625,52775.72619628906
55,16.49214659685864,11.25,281.00439453125,52540.21923828125
44,14.607329842931936,20.0,283.19171142578125,52768.68975830078
49,15.549738219895287,15.0,282.9435729980469,52854.76779174805
39,14.607329842931936,13.75,285.13079833984375,53091.816345214844
51,15.549738219895287,17.5,282.0501708984375,52743.10876464844
56,16.49214659685864,12.5,281.2530212402344,52671.688568115234
60,16.49214659685864,17.5,281.71820068359375,52750.171325683594
65,17.43455497382199,12.5,280.0907897949219,52436.32711791992
70,17.43455497382199,18.75,280.82208251953125,52616.73614501953
52,15.549738219895287,18.75,281.769287109375,52650.712646484375
57,16.49214659685864,13.75,281.5575256347656,52786.004791259766
61,16.49214659685864,18.75,280.8387451171875,52582.79187011719
66,17.43455497382199,13.75,280.7109069824219,52571.14450073242
71,17.43455497382199,20.0,279.1273498535156,52345.275787353516
53,15.549738219895287,20.0,282.0229187011719,52673.41940307617
58,16.49214659685864,15.0,282.1408996582031,52866.9026184082
62,16.49214659685864,20.0,280.5523681640625,52497.09924316406
67,17.43455497382199,15.0,281.43292236328125,52742.24542236328
72,18.37696335078534,10.0,276.7325439453125,52060.59387207031
54,16.49214659685864,10.0,280.0367126464844,52455.878509521484
59,16.49214659685864,16.25,282.04266357421875,52843.99383544922
63,17.43455497382199,10.0,279.00048828125,52262.85986328125
68,17.43455497382199,16.25,281.9213562011719,52853.11276245117
73,18.37696335078534,11.25,278.10150146484375,52311.648376464844
75,18.37696335078534,13.75,278.6916198730469,52314.99240112305
80,18.37696335078534,20.0,279.7113342285156,52389.547271728516
64,17.43455497382199,11.25,279.9969482421875,52408.31921386719
69,17.43455497382199,17.5,281.59454345703125,52756.28204345703
74,18.37696335078534,12.5,277.880859375,52291.69921875
76,18.37696335078534,15.0,280.5760498046875,52466.57800292969
81,19.319371727748692,10.0,276.2618408203125,52061.51184082031
85,19.319371727748692,15.0,279.0467224121094,52362.89633178711
77,18.37696335078534,16.25,281.36688232421875,52670.47821044922
82,19.319371727748692,11.25,277.86944580078125,52370.81866455078
86,19.319371727748692,16.25,281.2276306152344,52601.837005615234
78,18.37696335078534,17.5,281.0905456542969,52646.8757019043
83,19.319371727748692,12.5,277.6637268066406,52341.97817993164
87,19.319371727748692,17.5,280.1670227050781,52393.40725708008
79,18.37696335078534,18.75,281.0596008300781,52680.37210083008
84,19.319371727748692,13.75,276.7731628417969,52233.3981628418
88,19.319371727748692,18.75,279.1026611328125,52346.88000488281
89,19.319371727748692,20.0,277.80743408203125,52098.69415283203
